annee,prix,nom,genre,pays
1901,Chemestry,Jacobus Henricus van 't Hoff,Male,Netherlands
1901,Literature,Sully Prudhomme,Male,France
1901,Medicine,Emil Adolf von Behring,Male,Germany
1901,Peace,Frédéric Passy,Male,France
1901,Peace,Henry Dunant,Male,"France, Switzerland"
1901,Physics,Wilhelm Röntgen,Male,Germany
1902,Chemestry,Hermann Emil Fischer,Male,Germany
1902,Literature,Theodor Mommsen,Male,Germany
1902,Medicine,Ronald Ross,Male,"India, United Kingdom"
1902,Peace,Élie Ducommun,Male,Switzerland
1902,Peace,Charles Albert Gobat,Male,Switzerland
1902,Physics,Hendrik Lorentz,Male,Netherlands
1902,Physics,Pieter Zeeman,Male,Netherlands
1903,Chemestry,Svante Arrhenius,Male,Sweden
1903,Literature,Bjørnstjerne Bjørnson,Male,Norway
1903,Medicine,Niels Ryberg Finsen,Male,"Denmark, Faroe Islands"
1903,Peace,Randal Cremer,Male,United Kingdom
1903,Physics,Pierre Curie,Male,France
1903,Physics,Henri Becquerel,Male,France
1903,"Physics,",Marie Curie,Female,"France, France"
1904,Chemestry,William Ramsay,Male,United Kingdom
1904,Literature,Frédéric Mistral,Male,France
1904,Literature,José Echegaray,Male,Spain
1904,Medicine,Ivan Pavlov,Male,Russia
1904,Peace,Institut de Droit International,,Belgium
1904,Physics,Lord Rayleigh,Male,United Kingdom
1905,Chemestry,Adolf von Baeyer,Male,Germany
1905,Literature,Henryk Sienkiewicz,Male,Poland
1905,Medicine,Robert Koch,Male,Germany
1905,Peace,Bertha von Suttner,Female,"Austria, Czech Republic"
1905,Physics,Philipp Lenard,Male,"Austria, Germany"
1906,Chemestry,Henri Moissan,Male,France
1906,Literature,Giosuè Carducci,Male,Italy
1906,Medicine,Camillo Golgi,Male,Italy
1906,Medicine,Santiago Ramón y Cajal,Male,Spain
1906,Peace,Theodore Roosevelt,Male,United States of America
1906,Physics,J. J. Thomson,Male,United Kingdom
1907,Chemestry,Eduard Buchner,Male,Germany
1907,Literature,Rudyard Kipling,Male,"India, United Kingdom"
1907,Medicine,Charles Louis Alphonse Laveran,Male,France
1907,Peace,Louis Renault,Male,France
1907,Peace,Ernesto Teodoro Moneta,Male,Italy
1907,Physics,Albert Abraham Michelson,Male,Poland
1908,Chemestry,Ernest Rutherford,Male,"Canada, New Zealand, United Kingdom"
1908,Literature,Rudolf Christoph Eucken,Male,Germany
1908,Medicine,Paul Ehrlich,Male,Germany
1908,Medicine,Élie Metchnikoff,Male,"Russia, Ukraine"
1908,Peace,Fredrik Bajer,Male,Denmark
1908,Peace,Klas Pontus Arnoldson,Male,Sweden
1908,Physics,Gabriel Lippmann,Male,"France, Luxembourg"
1909,Chemestry,Wilhelm Ostwald,Male,"Germany, Latvia, Russia"
1909,Literature,Selma Lagerlöf,Female,Sweden
1909,Medicine,Emil Theodor Kocher,Male,Switzerland
1909,Peace,Auguste Marie François Beernaert,Male,Belgium
1909,Peace,Paul-Henri-Benjamin d'Estournelles de Constant,Male,France
1909,Physics,Guglielmo Marconi,Male,Italy
1909,Physics,Karl Ferdinand Braun,Male,Germany
